title_raw,year,journal_raw,doi_raw,score,razones
Methods and early findings from a study comparing next-generation sequencing versus traditional cultures for penile implants concerning for low-grade infection,2025,Translational Andrology and Urology,10.21037/tau-2025-57,23,EXCL: no menciona medio acuoso
"Upgrading the ferribactin pre-chromophore – synthesis, modification and polymerization",2025,New Journal of Chemistry,10.1039/d5nj03251b,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Cadmium(II)-based coordination polymer for photocatalytic degradation of antibiotics in water,2025,Journal of Molecular Structure,10.1016/j.molstruc.2025.143384,14,EXCL: no menciona adsorcion ni adsorbente
Effects of Phosphonic Acid Groups and Benzene Ring Content on Crystallization Behavior and Thorium(IV) Adsorption Performance,2025,ACS Applied Materials and Interfaces,10.1021/acsami.5c17593,33,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Interfacial Ni-Te Bond-Length Engineering Enables Selective Urea Oxidation for Sustainable Hydrogen Production and Nitrogen Recovery,2025,ACS nano,10.1021/acsnano.5c14677,5,EXCL: no menciona antibiotico ni hormona
Graphitic Carbon Nitride and Nickel-Doped Graphitic Carbon Nitride for Doxycycline Removal: Adsorption Efficiency and Mechanistic Insights,2025,Langmuir : the ACS journal of surfaces and colloids,10.1021/acs.langmuir.5c03760,68,EXCL: no menciona medio acuoso
Unraveling the Viable Antibiotic Resistome and Their Health Risks on Microplastics in the Aquatic Environment,2025,Environmental Science and Technology,10.1021/acs.est.5c10180,20,EXCL: no menciona adsorcion ni adsorbente
Sensitive Detection of Chloramphenicol Using Electrochemiluminescence Imaging Based on a DNA Walker Coupled with Nanozyme Quenching Effect,2025,Analytical Chemistry,10.1021/acs.analchem.5c05968,15,EXCL: no menciona medio acuoso
Dipole Polarization Modulation by Breaking Geometric Symmetry in Conjugated Porous Polymers for Efficient Photodegradation of Antibiotics,2025,Small,10.1002/smll.202510719,15,EXCL: no menciona medio acuoso
Co(II)/Co(III) valence cycling enhances bimetallic catalyst (Bi7.53Co0.47O11.92) for emerging contaminant degradation and antibacterial applications,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134669,27,EXCL: no menciona medio acuoso
