continente,pais,n_articulos,pct
Asia,china,6110,43.4
Asia,india,1392,9.9
America del Sur,brazil,356,2.5
America del Norte,united states,271,1.9
Europa,spain,247,1.8
Asia,malaysia,222,1.6
Africa,egypt,212,1.5
Europa,italy,197,1.4
Asia,viet nam,186,1.3
Asia,pakistan,179,1.3
Africa,south africa,146,1.0
Asia,saudi arabia,132,0.9
Europa,poland,122,0.9
Asia,iraq,122,0.9
America del Norte,mexico,112,0.8
America del Norte,canada,106,0.8
Europa,united kingdom,103,0.7
Europa,portugal,99,0.7
Europa,germany,96,0.7
Asia,thailand,95,0.7
Africa,nigeria,88,0.6
Oceania,australia,85,0.6
Sin determinar,russian federation,79,0.6
Europa,france,74,0.5
Africa,morocco,67,0.5
Asia,japan,59,0.4
America del Sur,colombia,59,0.4
Asia,indonesia,58,0.4
Sin determinar,hong kong,53,0.4
Europa,romania,52,0.4
Europa,greece,51,0.4
Africa,algeria,50,0.4
America del Sur,chile,48,0.3
Sin determinar,mongolia,45,0.3
Asia,bangladesh,44,0.3
Europa,czech republic,43,0.3
Sin determinar,united arab emirates,38,0.3
Sin determinar,tunisia,34,0.2
America del Sur,ecuador,24,0.2
Sin determinar,singapore,24,0.2
Europa,finland,23,0.2
Europa,sweden,22,0.2
America del Sur,argentina,22,0.2
Sin determinar,ireland,21,0.1
Sin determinar,serbia,20,0.1
Sin determinar,israel,20,0.1
Africa,ethiopia,19,0.1
Europa,netherlands,18,0.1
Europa,denmark,16,0.1
Europa,belgium,16,0.1
Europa,hungary,16,0.1
Africa,kenya,14,0.1
Europa,switzerland,13,0.1
Asia,sri lanka,13,0.1
America del Sur,peru,12,0.1
Sin determinar,cyprus,12,0.1
Sin determinar,lebanon,11,0.1
Sin determinar,kazakhstan,11,0.1
Sin determinar,slovakia,11,0.1
Asia,jordan,10,0.1
Sin determinar,qatar,9,0.1
Europa,norway,8,0.1
Sin determinar,croatia,8,0.1
Sin determinar,oman,8,0.1
Sin determinar,philippines,7,0.0
Sin determinar,kuwait,7,0.0
Europa,austria,7,0.0
Sin determinar,slovenia,7,0.0
Sin determinar,brunei darussalam,7,0.0
Oceania,new zealand,6,0.0
Sin determinar,estonia,6,0.0
Sin determinar,uganda,5,0.0
Sin determinar,zimbabwe,5,0.0
America Central/Caribe,costa rica,5,0.0
Sin determinar,cameroon,5,0.0
Sin determinar,republic of serbia,4,0.0
Sin determinar,turkiye,4,0.0
Sin determinar,luxembourg,4,0.0
Sin determinar,bulgaria,4,0.0
Sin determinar,puerto rico,4,0.0
Africa,ghana,3,0.0
Sin determinar,nepal,3,0.0
Sin determinar,lithuania,3,0.0
America Central/Caribe,cuba,2,0.0
Sin determinar,guadeloupe,2,0.0
Sin determinar,azerbaijan,2,0.0
Sin determinar,georgia,2,0.0
Sin determinar,trinidad and tobago,2,0.0
Sin determinar,macao,2,0.0
Sin determinar,niger,2,0.0
Sin determinar,senegal,2,0.0
Sin determinar,syrian arab republic,2,0.0
Sin determinar,benin,1,0.0
Sin determinar,dominican republic,1,0.0
Sin determinar,afghanistan,1,0.0
Sin determinar,belarus,1,0.0
Sin determinar,panama,1,0.0
Sin determinar,madagascar,1,0.0
Sin determinar,myanmar,1,0.0
Sin determinar,latvia,1,0.0
Sin determinar,namibia,1,0.0
Sin determinar,sudan,1,0.0
Sin determinar,uzbekistan,1,0.0
