journal_raw,n_articulos,pct
Chemical Engineering Journal,625,4.4
Journal of Environmental Chemical Engineering,543,3.9
Chemosphere,528,3.8
Separation and Purification Technology,488,3.5
Journal of Water Process Engineering,435,3.1
Environmental Science and Pollution Research,287,2.0
Journal of Hazardous Materials,221,1.6
Journal of hazardous materials,206,1.5
Science of the Total Environment,198,1.4
The Science of the total environment,196,1.4
Environmental research,187,1.3
Journal of Cleaner Production,171,1.2
Colloids and Surfaces A: Physicochemical and Engineering Aspects,165,1.2
Journal of environmental management,161,1.1
Water (Switzerland),135,1.0
Environmental Research,130,0.9
Journal of Molecular Liquids,127,0.9
RSC Advances,122,0.9
Desalination and Water Treatment,121,0.9
Journal of Environmental Management,113,0.8
Molecules,108,0.8
Journal of Colloid and Interface Science,106,0.8
Microchemical Journal,105,0.7
Water research,104,0.7
New Journal of Chemistry,102,0.7
"Environmental pollution (Barking, Essex : 1987)",100,0.7
"Water, Air, and Soil Pollution",96,0.7
Journal of Alloys and Compounds,93,0.7
International journal of biological macromolecules,89,0.6
Water Research,88,0.6
Process Safety and Environmental Protection,86,0.6
Inorganic Chemistry Communications,84,0.6
Environmental Technology and Innovation,83,0.6
ACS Omega,81,0.6
Applied Surface Science,81,0.6
Bioresource technology,77,0.5
Surfaces and Interfaces,77,0.5
Catalysts,73,0.5
Journal of Molecular Structure,70,0.5
Nanomaterials,69,0.5
Environmental Pollution,67,0.5
Polymers,67,0.5
Scientific reports,66,0.5
Water Science and Technology,62,0.4
International Journal of Biological Macromolecules,61,0.4
International Journal of Environmental Science and Technology,56,0.4
Langmuir,54,0.4
Environmental Science: Nano,53,0.4
Environmental Science and Technology,53,0.4
Applied Catalysis B: Environmental,52,0.4
Journal of the Taiwan Institute of Chemical Engineers,51,0.4
Scientific Reports,51,0.4
International Journal of Environmental Analytical Chemistry,50,0.4
Heliyon,47,0.3
Journal of Industrial and Engineering Chemistry,46,0.3
ACS Applied Nano Materials,46,0.3
Bioresource Technology,45,0.3
Talanta,45,0.3
Environmental Science: Water Research and Technology,45,0.3
ACS Applied Materials and Interfaces,44,0.3
Environmental Technology (United Kingdom),43,0.3
Journal of Solid State Chemistry,43,0.3
ChemistrySelect,43,0.3
Antibiotics,42,0.3
Sustainability (Switzerland),42,0.3
Materials Chemistry and Physics,42,0.3
Biomass Conversion and Biorefinery,42,0.3
Materials,41,0.3
Journal of Membrane Science,41,0.3
Inorganic Chemistry,39,0.3
Frontiers in Microbiology,38,0.3
Processes,37,0.3
Journal of Environmental Sciences (China),37,0.3
International Journal of Environmental Research and Public Health,35,0.2
Journal of Photochemistry and Photobiology A: Chemistry,35,0.2
Ceramics International,34,0.2
Journal of Materials Science: Materials in Electronics,34,0.2
International Journal of Molecular Sciences,34,0.2
ACS ES and T Water,32,0.2
Chinese Chemical Letters,32,0.2
Applied Sciences (Switzerland),32,0.2
Membranes,31,0.2
Desalination,31,0.2
Diamond and Related Materials,31,0.2
Journal of Inorganic and Organometallic Polymers and Materials,30,0.2
Ecotoxicology and environmental safety,30,0.2
Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,30,0.2
"Environmental Nanotechnology, Monitoring and Management",30,0.2
Applied Water Science,29,0.2
Environmental Chemistry,28,0.2
Applied Organometallic Chemistry,27,0.2
Chinese Journal of Environmental Engineering,27,0.2
Journal of chromatography. A,27,0.2
Ecotoxicology and Environmental Safety,27,0.2
Results in Engineering,26,0.2
Results in Chemistry,26,0.2
Toxics,25,0.2
Microporous and Mesoporous Materials,25,0.2
Analytica chimica acta,25,0.2
Environmental science and pollution research international,24,0.2
Chemical Engineering Research and Design,24,0.2
Industrial and Engineering Chemistry Research,24,0.2
Journal of Hazardous Materials Advances,23,0.2
Environmental Chemistry Letters,23,0.2
Journal of Chemical Technology and Biotechnology,23,0.2
Journal of Materials Chemistry A,22,0.2
Materials Science in Semiconductor Processing,22,0.2
Huanjing Kexue/Environmental Science,21,0.1
Industrial Crops and Products,21,0.1
Chemical Engineering Science,21,0.1
Water Environment Research,20,0.1
Frontiers in Environmental Science,20,0.1
Arabian Journal of Chemistry,20,0.1
Optical Materials,19,0.1
Materials Today Communications,19,0.1
Research on Chemical Intermediates,19,0.1
Food chemistry,19,0.1
ACS ES and T Engineering,19,0.1
Separation Science and Technology (Philadelphia),19,0.1
Frontiers of Environmental Science and Engineering,19,0.1
Applied Clay Science,19,0.1
CrystEngComm,18,0.1
Chemical Papers,18,0.1
Materials Letters,18,0.1
Case Studies in Chemical and Environmental Engineering,18,0.1
Pharmaceutics,18,0.1
Carbohydrate polymers,17,0.1
Huagong Jinzhan/Chemical Industry and Engineering Progress,17,0.1
Materials Today Chemistry,17,0.1
Journal of Polymers and the Environment,17,0.1
Dalton Transactions,17,0.1
Polyhedron,17,0.1
Coordination Chemistry Reviews,17,0.1
Environmental monitoring and assessment,17,0.1
Journal of colloid and interface science,17,0.1
Journal of Porous Materials,16,0.1
Zhongguo Huanjing Kexue/China Environmental Science,16,0.1
Energy. Environ. Sustain.,16,0.1
Biochar,15,0.1
npj Clean Water,15,0.1
Materials Research Bulletin,15,0.1
"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",15,0.1
Separations,15,0.1
Sensors and Actuators B: Chemical,15,0.1
Electrochimica Acta,15,0.1
Nanotechnology,14,0.1
Journal of the Indian Chemical Society,14,0.1
Materials Advances,14,0.1
"Advances in Treatment Methods Towards Emerging Contaminants: Sources, Occurrences and Health Effects",14,0.1
Gels,14,0.1
Chemical Engineering Communications,13,0.1
Chemical Engineering Journal Advances,13,0.1
Analytica Chimica Acta,13,0.1
Analytical Methods,13,0.1
Alexandria Engineering Journal,13,0.1
Algal Research,13,0.1
Nanotechnology for Environmental Engineering,13,0.1
"Small (Weinheim an der Bergstrasse, Germany)",13,0.1
Electroanalysis,13,0.1
Polymer Bulletin,13,0.1
Water Practice and Technology,12,0.1
Environmental Engineering Science,12,0.1
Materials Today Sustainability,12,0.1
Environmental Progress and Sustainable Energy,12,0.1
Dyes and Pigments,12,0.1
Advanced Sustainable Systems,12,0.1
Journal of Electroanalytical Chemistry,12,0.1
Frontiers in Chemistry,12,0.1
Chemistry Africa,12,0.1
Catalysis Today,12,0.1
Catalysis Letters,12,0.1
ACS Applied Bio Materials,12,0.1
Cellulose,12,0.1
Sustainable Materials and Technologies,12,0.1
Analyst,12,0.1
Critical Reviews in Environmental Science and Technology,12,0.1
Journal of Materials Science,12,0.1
Crystal Growth and Design,12,0.1
Sustainable Chemistry and Pharmacy,11,0.1
Materials Research Express,11,0.1
Applied Materials Today,11,0.1
Ultrasonics Sonochemistry,11,0.1
Chinese Journal of Chemical Engineering,11,0.1
Nanoscale Advances,11,0.1
Environmental Monitoring and Assessment,11,0.1
Environ. Sci. Eng.,11,0.1
International Journal of Environmental Research,11,0.1
Current Opinion in Environmental Science and Health,11,0.1
Environmental Science: Processes and Impacts,11,0.1
Water environment research : a research publication of the Water Environment Federation,11,0.1
Inorganica Chimica Acta,11,0.1
Adsorption Science and Technology,11,0.1
Journal of Chromatography A,11,0.1
Journal of Environmental Health Science and Engineering,11,0.1
Advanced Functional Materials,11,0.1
PLoS ONE,11,0.1
Journal of Environmental Engineering (United States),11,0.1
Environmental Processes,10,0.1
Journal of Physics and Chemistry of Solids,10,0.1
Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,10,0.1
Journal of Sol-Gel Science and Technology,10,0.1
Egyptian Journal of Chemistry,10,0.1
Korean Journal of Chemical Engineering,10,0.1
Environment international,10,0.1
Environmental Quality Management,10,0.1
Emerging Contaminants,10,0.1
RSC Sustainability,10,0.1
Environmental Engineering Research,10,0.1
Arabian Journal for Science and Engineering,10,0.1
Journal of contaminant hydrology,10,0.1
ACS Applied Polymer Materials,10,0.1
ACS Symp. Ser.,10,0.1
Carbohydrate Polymers,10,0.1
Journal of Dispersion Science and Technology,10,0.1
Mikrochimica acta,10,0.1
Current Analytical Chemistry,10,0.1
Reactive and Functional Polymers,10,0.1
Xiandai Huagong/Modern Chemical Industry,10,0.1
Bioresource Technology Reports,10,0.1
Journal of Drug Delivery Science and Technology,10,0.1
Advanced Composites and Hybrid Materials,9,0.1
Microchimica Acta,9,0.1
Environmental geochemistry and health,9,0.1
Carbon,9,0.1
Iranian Journal of Chemistry and Chemical Engineering,9,0.1
Journal of Ecological Engineering,9,0.1
Polymers for Advanced Technologies,9,0.1
Biomacromolecules,9,0.1
Microorganisms,9,0.1
Biointerface Research in Applied Chemistry,9,0.1
Energy Environmental Protection,9,0.1
BMC Chemistry,9,0.1
Journal of the Electrochemical Society,9,0.1
Inorganic Chemistry Frontiers,9,0.1
Development in Wastewater Treatment Research and Processes: Removal of Emerg. Contaminants from Wastewater through Bio-nanotechnology,9,0.1
Emergent Materials,8,0.1
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,8,0.1
Chemical Engineering and Processing - Process Intensification,8,0.1
Chinese Journal of Chromatography (Se Pu),8,0.1
"Journal of Hazardous, Toxic, and Radioactive Waste",8,0.1
Environmental Advances,8,0.1
Applied Surface Science Advances,8,0.1
Environment International,8,0.1
Environments - MDPI,8,0.1
Analytical Chemistry,8,0.1
Carbohydrate Polymer Technologies and Applications,8,0.1
Biosensors & bioelectronics,8,0.1
Groundwater for Sustainable Development,8,0.1
Journal of Analytical and Applied Pyrolysis,8,0.1
Nanoscale,8,0.1
Journal of Materials Chemistry B,8,0.1
Journal of Cluster Science,8,0.1
Advanced Oxidation Process-Based Integrated and Hybrid Technologies for Degradation of Pharmaceuticals and Personal Care Products,8,0.1
Topics in Catalysis,8,0.1
PloS one,7,0.0
Environmental Chemistry and Ecotoxicology,7,0.0
Ionics,7,0.0
Lizi Jiaohuan Yu Xifu/Ion Exchange and Adsorption,7,0.0
Journal of Safety and Environment,7,0.0
Applied Nanoscience (Switzerland),7,0.0
Small,7,0.0
Environmental Science: Advances,7,0.0
Materials Science and Engineering: B,7,0.0
Journal of Separation Science,7,0.0
Environmental Geochemistry and Health,7,0.0
FlatChem,7,0.0
Minerals,7,0.0
Sustainable Remediation Technologies for Emerg. Pollutants in Aqueous Environment,7,0.0
Journal of Nanoparticle Research,7,0.0
Micromachines,7,0.0
Advances in Sample Preparation,7,0.0
Nano,7,0.0
"Reaction Kinetics, Mechanisms and Catalysis",7,0.0
Clean Technologies and Environmental Policy,7,0.0
Global Nest Journal,7,0.0
Carbon Letters,7,0.0
International Journal of Chemical Reactor Engineering,7,0.0
International Journal of Design and Nature and Ecodynamics,6,0.0
Catalysis Science and Technology,6,0.0
Advanced Powder Technology,6,0.0
Green Chemistry,6,0.0
ChemNanoMat,6,0.0
Physical Sciences Reviews,6,0.0
Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,6,0.0
Adsorption,6,0.0
"Journal of Biomaterials Science, Polymer Edition",6,0.0
Talanta Open,6,0.0
TrAC - Trends in Analytical Chemistry,6,0.0
Journal of Food Composition and Analysis,6,0.0
Fuhe Cailiao Xuebao/Acta Materiae Compositae Sinica,6,0.0
Optik,6,0.0
Chemical Engineering Transactions,6,0.0
Waste Management,6,0.0
Environmental Science and Ecotechnology,6,0.0
Next Materials,6,0.0
Chinese Journal of Analytical Chemistry,6,0.0
Engineering Proceedings,6,0.0
Scientific African,6,0.0
Energies,6,0.0
Nano-Structures and Nano-Objects,6,0.0
Biomaterials Science,6,0.0
Marine pollution bulletin,6,0.0
Materials Today: Proceedings,6,0.0
BioNanoScience,6,0.0
Mater. Horiz.,6,0.0
Current Pollution Reports,6,0.0
Malaysian Journal of Analytical Sciences,6,0.0
Kexue Tongbao/Chinese Science Bulletin,6,0.0
Journal of the Iranian Chemical Society,6,0.0
Bioprocess and Biosystems Engineering,6,0.0
"Clean - Soil, Air, Water",6,0.0
South African Journal of Chemical Engineering,6,0.0
Applied Catalysis A: General,6,0.0
Journal of Rare Earths,6,0.0
Solid State Sciences,6,0.0
Journal of Saudi Chemical Society,5,0.0
Powder Technology,5,0.0
Brazilian Journal of Chemical Engineering,5,0.0
Catalysis Communications,5,0.0
International journal of pharmaceutics,5,0.0
International Journal of Electrochemical Science,5,0.0
Canadian Journal of Chemical Engineering,5,0.0
International Journal of Phytoremediation,5,0.0
Handb. Environ. Chem.,5,0.0
Journal of Chemistry,5,0.0
Cleaner Water,5,0.0
Journal of Xenobiotics,5,0.0
Biomass and Bioenergy,5,0.0
SN Applied Sciences,5,0.0
Detect. and Treat. of Emerg. Contam. in Wastewater,5,0.0
"Development in Wastewater Treatment Research and Processes: Emerg. Technologies for Removal of Pharmaceuticals and Personal Care Products: State of the Art, Challenges and Future Perspectives",5,0.0
Discover Applied Sciences,5,0.0
BMC Microbiology,5,0.0
Water Cycle,5,0.0
Water and Environment Journal,5,0.0
Water Supply,5,0.0
International Biodeterioration and Biodegradation,5,0.0
Materials and Design,5,0.0
Bioengineered,5,0.0
iScience,5,0.0
Microbial Pathogenesis,5,0.0
Egyptian Journal of Aquatic Biology and Fisheries,5,0.0
"Colloids and surfaces. B, Biointerfaces",5,0.0
Royal Society Open Science,5,0.0
Nature Communications,5,0.0
Sustainable Chemistry for the Environment,5,0.0
Aquaculture,5,0.0
Clays and Clay Minerals,5,0.0
Angewandte Chemie - International Edition,5,0.0
Toxin Reviews,5,0.0
Foods,5,0.0
European Polymer Journal,5,0.0
Journal of Materials Chemistry C,5,0.0
Ultrasonics sonochemistry,5,0.0
Fibers and Polymers,5,0.0
Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,5,0.0
"Chemistry, an Asian journal",5,0.0
Chemistry - An Asian Journal,5,0.0
Gaodeng Xuexiao Huaxue Xuebao/Chemical Journal of Chinese Universities,5,0.0
Vietnam Journal of Science and Technology,4,0.0
Advanced Science,4,0.0
Green Processing and Synthesis,4,0.0
"Handb. of Green and Sustainable Nanotechnol.: Fundamentals, Developments and Applications: Volume 1-4",4,0.0
Vacuum,4,0.0
Biosensors,4,0.0
Journal of Chemical Research,4,0.0
Journal of Applied Electrochemistry,4,0.0
Journal of Advances in Environmental Health Research,4,0.0
Cellulose Chemistry and Technology,4,0.0
ChemPlusChem,4,0.0
ChemElectroChem,4,0.0
Gongneng Cailiao/Journal of Functional Materials,4,0.0
Green Energy and Technology,4,0.0
Waste and Biomass Valorization,4,0.0
Adv. Sci. Tech. Inno.,4,0.0
Advanced Materials Interfaces,4,0.0
Journal of Applied Polymer Science,4,0.0
Bulletin of Chemical Reaction Engineering and Catalysis,4,0.0
Bulletin of Environmental Contamination and Toxicology,4,0.0
Inorganic and Nano-Metal Chemistry,4,0.0
International Journal of Chemical Engineering,4,0.0
Indonesian Journal of Chemistry,4,0.0
International journal of nanomedicine,4,0.0
Iranian Journal of Health and Environment,4,0.0
Iranian Journal of Catalysis,4,0.0
Plasma Science and Technology,4,0.0
Iraqi Journal of Agricultural Sciences,4,0.0
Physical Chemistry Chemical Physics,4,0.0
Carbon Research,4,0.0
Journal of Soils and Sediments,4,0.0
Applied Biochemistry and Biotechnology,4,0.0
Nanotechnol. Life. Sci.,4,0.0
Journal of Physics D: Applied Physics,4,0.0
"Bioelectrochemistry (Amsterdam, Netherlands)",4,0.0
Environmental Research and Technology,4,0.0
Chemosensors,4,0.0
Journal of Nanostructures,4,0.0
Environmental Sciences Europe,4,0.0
Sustainable Environment,4,0.0
Journal of Pharmaceutical and Biomedical Analysis,4,0.0
Surfaces,4,0.0
Environmental Toxicology and Chemistry,4,0.0
Environmental Technology Reviews,4,0.0
Chinese Journal of Applied and Environmental Biology,4,0.0
European Journal of Inorganic Chemistry,4,0.0
Fullerenes Nanotubes and Carbon Nanostructures,4,0.0
Chemical Physics Letters,4,0.0
Open Chemistry,4,0.0
Chemical Engineering and Technology,4,0.0
Journal of Electronic Materials,4,0.0
Waste Disposal and Sustainable Energy,4,0.0
Radiation Physics and Chemistry,4,0.0
Journal of Instrumental Analysis,4,0.0
Progress in Chemistry,4,0.0
Fermentation,4,0.0
Traditional and Novel Adsorbents for Antibiotics Remov. from Wastewater,4,0.0
Food Chemistry,4,0.0
Agronomy,4,0.0
Sustainable Water Resources Management,4,0.0
The Treatment of Pharmaceutical Wastewater: Innovative Technologies and the Adaptation of Treatment Systems,4,0.0
Journal of the Brazilian Chemical Society,4,0.0
Marine Pollution Bulletin,4,0.0
Magnetochemistry,4,0.0
Nano Energy,4,0.0
MRS Advances,4,0.0
"Microconstituents in the Environment: Occurrence, Fate, Remov., and Management",4,0.0
Journal of the Chilean Chemical Society,4,0.0
Microbiology spectrum,4,0.0
Composites Part B: Engineering,4,0.0
Science and Technology Indonesia,4,0.0
Asian Journal of Chemistry,4,0.0
Russian Journal of Physical Chemistry A,4,0.0
Rasayan Journal of Chemistry,4,0.0
Rare Metals,4,0.0
Emerg. Water Pollutants: Concerns and Remediation Technologies,4,0.0
Journal of the American Chemical Society,4,0.0
Degrad. of Antibiotics and Antibiotic-Resistant Bacteria From Various Sources,4,0.0
Development in Wastewater Treatment Research and Processes: Innovative Trends in Removal of Refractory Pollutants from Pharmaceutical Wastewater,4,0.0
Reviews in Environmental Science and Biotechnology,4,0.0
Crystals,4,0.0
Current Developments in Biotechnology and Bioengineering: Bioremediation of Endocr. Disrupting Pollutants in Industrial Wastewater,4,0.0
Research Journal of Chemistry and Environment,4,0.0
Dental materials : official publication of the Academy of Dental Materials,4,0.0
Biochemical Engineering Journal,4,0.0
Results in Surfaces and Interfaces,4,0.0
Discover Sustainability,4,0.0
Water Conservation Science and Engineering,4,0.0
Materials Horizons,4,0.0
Current Research in Green and Sustainable Chemistry,4,0.0
Zeitschrift fur Physikalische Chemie,4,0.0
Water Resources and Industry,4,0.0
Water Research X,4,0.0
ACS Sustainable Chemistry and Engineering,4,0.0
International Journal of Drug Delivery Technology,3,0.0
Inorganics,3,0.0
"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",3,0.0
ASEAN Engineering Journal,3,0.0
Acta Pedologica Sinica,3,0.0
Acta Periodica Technologica,3,0.0
Huan jing ke xue= Huanjing kexue,3,0.0
Membrane and Water Treatment,3,0.0
Remediation,3,0.0
International Journal of Environmental Studies,3,0.0
Jiegou Huaxue,3,0.0
Journal of Analytical Methods in Chemistry,3,0.0
Journal of Basic Microbiology,3,0.0
Process Biochemistry,3,0.0
Pharmaceuticals,3,0.0
Cellular and Molecular Biology,3,0.0
Photochemical and Photobiological Sciences,3,0.0
Guangdong Agricultural Sciences,3,0.0
Guocheng Gongcheng Xuebao/The Chinese Journal of Process Engineering,3,0.0
Global Journal of Environmental Science and Management,3,0.0
Green Analytical Chemistry,3,0.0
Orbital,3,0.0
Ozone: Science and Engineering,3,0.0
PLOS ONE,3,0.0
Reviews in Chemical Engineering,3,0.0
Materials Today Bio,3,0.0
Current Opinion in Green and Sustainable Chemistry,3,0.0
"Materials science & engineering. C, Materials for biological applications",3,0.0
Polymer Engineering and Science,3,0.0
"Procedia Environmental Science, Engineering and Management",3,0.0
Proceedings of the National Academy of Sciences of the United States of America,3,0.0
Journal of Contaminant Hydrology,3,0.0
Journal of Controlled Release,3,0.0
Urban Water Journal,3,0.0
Vietnam Journal of Chemistry,3,0.0
Malaysian Journal of Microscopy,3,0.0
"Resources, Environment and Sustainability",3,0.0
BioResources,3,0.0
Biocatalysis and Agricultural Biotechnology,3,0.0
Results in Materials,3,0.0
MethodsX,3,0.0
Visible Light Active Structured Photocatalysts for the Remov. of Emerg. Contaminants: Science and Engineering,3,0.0
Journal of Ecology and Rural Environment,3,0.0
Journal of Environmental Engineering Technology,3,0.0
Frontiers in Physiology,3,0.0
Frontiers of Chemical Science and Engineering,3,0.0
Fuel,3,0.0
Chemical Communications,3,0.0
Chemical Physics Impact,3,0.0
"Occurrence, Distribution and Toxic Effects of Emerg. Contaminants",3,0.0
Open Veterinary Journal,3,0.0
Journal of Environmental Quality,3,0.0
"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",3,0.0
Trends in Environmental Analytical Chemistry,3,0.0
Advances in colloid and interface science,3,0.0
Molecular Catalysis,3,0.0
Colloid and Polymer Science,3,0.0
Colloids and Surfaces B: Biointerfaces,3,0.0
Molecular Pharmaceutics,3,0.0
"Molecules (Basel, Switzerland)",3,0.0
Ecological Engineering,3,0.0
Ecological Engineering and Environmental Technology,3,0.0
Ecological Indicators,3,0.0
Malaysian Journal of Chemistry,3,0.0
Frontiers in Bioengineering and Biotechnology,3,0.0
Frontiers in Nanotechnology,3,0.0
Journal of Functional Biomaterials,3,0.0
Journal of Health Sciences and Surveillance System,3,0.0
Chinese Journal of Catalysis,3,0.0
BioChar: Applications for Bioremediation of Contaminated Systems,3,0.0
Revista Materia,3,0.0
Journal of the mechanical behavior of biomedical materials,3,0.0
"Chemistry (Weinheim an der Bergstrasse, Germany)",3,0.0
Progress in Organic Coatings,3,0.0
Pure and Applied Chemistry,3,0.0
Food Bioscience,3,0.0
Ain Shams Engineering Journal,3,0.0
Synthetic Metals,3,0.0
Journal of Materials Research and Technology,3,0.0
Journal of Materials Science and Technology,3,0.0
Journal of Nanostructure in Chemistry,3,0.0
Environmental science & technology,3,0.0
Analytical Letters,3,0.0
Analytical and Bioanalytical Chemistry,3,0.0
Nature Environment and Pollution Technology,3,0.0
Nature Water,3,0.0
Journal of the American Ceramic Society,3,0.0
Journal of the Chinese Chemical Society,3,0.0
Revista Brasileira de Ciencias Ambientais,3,0.0
BMC plant biology,3,0.0
Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,3,0.0
Angewandte Chemie (International ed. in English),3,0.0
Animals,3,0.0
Sorbtsionnye i Khromatograficheskie Protsessy,3,0.0
Springer. Proc. Mater.,3,0.0
Journal of Physical Chemistry C,3,0.0
Nanomaterials for the Detection and Removal of Wastewater Pollutants,3,0.0
Cleaner Materials,3,0.0
Coatings,3,0.0
Chinese Journal of Inorganic Chemistry,3,0.0
Journal of Polymer Science,3,0.0
"Sensors and Actuators, B: Chemical",3,0.0
Soft Matter,3,0.0
Solar Energy,3,0.0
Aquananotechnology: Applications of Nanomaterials for Water Purification,3,0.0
Biomaterials,3,0.0
Biomaterials advances,3,0.0
"Energy, Ecology and Environment",3,0.0
Aquatic Toxicology,3,0.0
"Aquatic toxicology (Amsterdam, Netherlands)",3,0.0
Environmental Health Engineering and Management,3,0.0
Journal of Thermal Analysis and Calorimetry,3,0.0
Environment and Water Engineering,3,0.0
"Environment, Development and Sustainability",3,0.0
Journal of Water and Environment Technology,3,0.0
Journal of Water and Health,3,0.0
Asia-Pacific Journal of Chemical Engineering,3,0.0
Sains Malaysiana,3,0.0
Nano Research,3,0.0
Nano Today,3,0.0
"Nano-biosorbents for Decontam. of Water, Air, and Soil Pollut.",3,0.0
ACS Sustainable Resource Management,3,0.0
International Journal of Pharmaceutics,3,0.0
Plant Archives,3,0.0
Plant Stress,3,0.0
Bulletin of Materials Science,3,0.0
C-Journal of Carbon Research,3,0.0
Water Reuse,3,0.0
Water SA,3,0.0
International Journal of Hydrogen Energy,3,0.0
Polymer Chemistry,3,0.0
"Water Security: Big Data-Driven Risk Identification, Assessment and Control of Emerging Contaminants",3,0.0
World journal of microbiology & biotechnology,3,0.0
ACS Sensors,3,0.0
World Journal of Microbiology and Biotechnology,2,0.0
Zeitschrift fur Anorganische und Allgemeine Chemie,2,0.0
Yankuang Ceshi,2,0.0
3 Biotech,2,0.0
Polymer Composites,2,0.0
International Journal of Food Microbiology,2,0.0
ACS Nano,2,0.0
ACS Materials Letters,2,0.0
Water Emerging Contaminants and Nanoplastics,2,0.0
Cailiao Daobao/Materials Reports,2,0.0
Plant physiology and biochemistry : PPB,2,0.0
Plant and Soil,2,0.0
Plant Physiology and Biochemistry,2,0.0
Iranian Polymer Journal (English Edition),2,0.0
Indian Journal of Pharmaceutical Education and Research,2,0.0
International journal of phytoremediation,2,0.0
International Review of Civil Engineering,2,0.0
International Journal of Sustainable Development and Planning,2,0.0
International Journal of Pharmaceutical Quality Assurance,2,0.0
Reaction Chemistry and Engineering,2,0.0
Nano Materials Science,2,0.0
