title_raw,year,journal_raw,doi_raw,autor1,analitos,adsorbente,tipo_articulo,etiqueta,score,db_raw
"Engineered AgFe2O4@NiMn-MOF composite for triple-action environmental detoxification: photocatalysis, hydrogen generation, and antibacterial effect",2025,Separation and Purification Technology,10.1016/j.seppur.2025.135122,"chinnasamy, c.",Tetraciclina,MOF,Investigacion original,INCLUIDO_ALTA,46,
Red mud-based materials for mitigating antibiotic pollution in wastewater: a critical review of adsorption and advanced oxidation processes,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134984,"qin, d.",,,Revision,INCLUIDO_ALTA,45,
Study on the migration and removal behavior of intracellular and extracellular antibiotic resistance genes in the advanced oxidation sludge dewatering process,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134849,"yang, p.",,,Investigacion original,INCLUIDO_ALTA,34,
Adsorptive removal of Tetracycline from wastewater using platanus leaf powder modified by metal-phenolic network based on Fe(III)-Tannic acid: Low carbon and sustainable,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134889,"zeng, h.",Tetraciclina,,Investigacion original,INCLUIDO_ALTA,64,
Polarized tubular carbon-based nanoreactor with electron-delocalized Cu achieving wide-pH and water-quality-resistant decontaminant,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134835,"ma, z.",Tetraciclina,Hidrogel/Polimero,Investigacion original,INCLUIDO_ALTA,30,
Preparation of Ti-based homologous heterojunction and its photocatalytic degradation properties of tetracycline in seawater,2025,Applied Surface Science,10.1016/j.apsusc.2025.164480,"zhou, y.",Tetraciclina,MOF,Investigacion original,INCLUIDO_ALTA,38,
"State-of-the-Art, Insights, and Perspectives for MOFs-Nanocomposites and MOF-Derived (Nano)Materials",2025,Advanced Materials,10.1002/adma.202415399,"mourdikoudis, s.",,MOF,Revision,INCLUIDO_ALTA,66,
A STUDY ON DOXORUBICIN ADSORPTION ON THE SURFACE OF CARBON NANOTUBE,2025,"Himia, Fizika ta Tehnologia Poverhni",10.15407/hftp16.04.451,"khora, o.v.",,Nanocompuesto,Investigacion original,INCLUIDO_ALTA,53,
"High-Capacity Norfloxacin Capture by CMC/MIL-125(Ti)-NH2: One-Pot Synthesis, Performance, and Synergistic Mechanisms",2025,ACS Applied Materials and Interfaces,10.1021/acsami.5c17816,"peng, t.",Norfloxacino,Nanocompuesto,Investigacion original,INCLUIDO_ALTA,60,
Type- and Treatment Duration-Dependent Efficacy of Metal–Organic Frameworks for Combating Antibiotic Resistance Genes in Real Wastewater,2025,Environmental Science and Technology,10.1021/acs.est.5c05126,"hu, x.",,,Investigacion original,INCLUIDO_ALTA,59,
Carbon-Coated Multifunctional Magnetic Nanoparticles for Fluorescent Detection and Removal of β-Lactam Antibiotics from Water,2025,ACS Omega,10.1021/acsomega.5c11157,"da silva, a.o.",Amoxicilina,Nanocompuesto,Investigacion original,INCLUIDO_ALTA,75,
Synthesis of novel basic magnesium carbonate nanofibers from seawater brine for high-efficiency adsorption of norfloxacin,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134141,"yan, s.",Norfloxacino,,Investigacion original,INCLUIDO_ALTA,63,
Natural product flavonoid of naringenin based thin-film composite polyester membranes preparation for antibiotic separation,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134123,"wang, c.",,,Investigacion original,INCLUIDO_ALTA,29,
