title_raw,year,journal_raw,doi_raw,pais,adsorbente,analitos,qmax_mg_g,remocion_pct,isoterma,cinetica,phpzc,bet_m2g,ph_operacional,dosis_g_l,tipo_matriz,ciclos_regen,etiqueta,score
Study on the migration and removal behavior of intracellular and extracellular antibiotic resistance genes in the advanced oxidation sludge dewatering process,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134849,china,,,,,,,,,,,,,INCLUIDO_ALTA,34
Adsorptive removal of Tetracycline from wastewater using platanus leaf powder modified by metal-phenolic network based on Fe(III)-Tannic acid: Low carbon and sustainable,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134889,china,,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,64
A STUDY ON DOXORUBICIN ADSORPTION ON THE SURFACE OF CARBON NANOTUBE,2025,"Himia, Fizika ta Tehnologia Poverhni",10.15407/hftp16.04.451,,Nanocompuesto,,,,Langmuir,,,,,,,,INCLUIDO_ALTA,53
"High-Capacity Norfloxacin Capture by CMC/MIL-125(Ti)-NH2: One-Pot Synthesis, Performance, and Synergistic Mechanisms",2025,ACS Applied Materials and Interfaces,10.1021/acsami.5c17816,china,Nanocompuesto,Norfloxacino,,,,,,,,,,5.0,INCLUIDO_ALTA,60
Carbon-Coated Multifunctional Magnetic Nanoparticles for Fluorescent Detection and Removal of β-Lactam Antibiotics from Water,2025,ACS Omega,10.1021/acsomega.5c11157,brazil,Nanocompuesto,Amoxicilina,,,,PSO,,,,,,,INCLUIDO_ALTA,75
Synthesis of novel basic magnesium carbonate nanofibers from seawater brine for high-efficiency adsorption of norfloxacin,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134141,china,,Norfloxacino,,,,,,84.17,,,,10.0,INCLUIDO_ALTA,63
Novel bifunctional Tb-Zr bimetallic organic gel/sodium alginate beads upcycled from waste PET for efficient removal and sensitive detection of chlortetracycline hydrochloride,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134093,china,Biopolimero,Clortetraciclina,,,,,,,,,Real,,INCLUIDO_ALTA,38
Ultrahigh-surface-area phenothiazine-derived nanocarbon for adsorptive removal of iodine and pharmaceutical pollutants,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134746,kuwait,Hidrogel/Polimero,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,84
Sludge biochar self-doping with adsorbed aqueous phosphorus to activate peroxymonosulfate for antibiotics degradation: Non-covalent bond driven non-radicals mechanism,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134688,china,Biochar,Sulfametoxazol,,,,,,,,,Real,,INCLUIDO_ALTA,36
Controlled epitaxial synthesis of copper silicate nanotube clusters featuring multiple active sites for superior antibiotic removal,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134600,mongolia,Carbon activado,Tetraciclina; Oxitetraciclina,,,,,,,,,,,INCLUIDO_ALTA,54
MOFs functionalized magnetic sawdust hydrochar for effective tetracycline elimination: Inherent roles of adsorption and mechanisms,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134534,china,MOF,Tetraciclina,,,Freundlich,PSO,,,,,,,INCLUIDO_ALTA,81
"Cu-doped biomass-derived carbon quantum dot modified BiOBr/g-C3N4 photocatalyst to eliminate antibiotics, antibiotic resistant bacteria, and resistance genes",2025,Journal of Cleaner Production,10.1016/j.jclepro.2025.147218,china,,Oxitetraciclina,,97.8,,,,,,,,,INCLUIDO_ALTA,38
Efficient fixed-bed removal of the emerging contaminant nimesulide using β-cyclodextrin-grafted Luffa biomass,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138334,brazil,,,,,Sips,,,,,,,,INCLUIDO_ALTA,75
BiPO4/MIL-88A(Fe) composites via green solvothermal synthesis: Efficient antibiotic adsorption mechanisms and environmental applications,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138332,china,MOF,Tetraciclina; Ciprofloxacino,,,,,,,,,Real,5.0,INCLUIDO_ALTA,60
"Tetracycline adsorption on nitrogen-doped furfural residue biochar: Kinetics, thermodynamics and mechanism analysis",2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138197,china,Biochar,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,89
Rational design of multi-functional adsorption sites in branched cellulose for synergistic removal of copper and sulfamethoxazole,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138191,china,Biopolimero,Sulfametoxazol,,,,,,,,,,,INCLUIDO_ALTA,76
PAA-functionalized UiO-66 incorporated into lotus biochar-chitosan hydrogel: A bimetallic adsorbent with enhanced adsorption capacity for antibiotics,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138127,china,Biochar,Tetraciclina; Ofloxacino,,,,,,,,,,,INCLUIDO_ALTA,87
Ultrafast removal of sulfamethoxazole across a wide pH range via EDTA-functionalized Cu-modified tobacco straw biochar: Efficient adsorption and targeted degradation,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134439,china,Biochar,Sulfametoxazol,,,,PFO + PSO,,,,,,,INCLUIDO_ALTA,64
Turning nitrogen vacancy and chemisorption sites by co-doping Na and N into cow dung biochar ultrathin nanosheets for removal of oxytetracycline,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134381,china,Biochar,Oxitetraciclina,,,,,,,,,,,INCLUIDO_ALTA,100
"Graphene oxide-based composite membranes: Antifouling mechanisms, functionalization strategies, and applications in refractory wastewater treatment",2025,Separation and Purification Technology,10.1016/j.seppur.2025.134416,china,Nanocompuesto,,,,,,,,,,,,INCLUIDO_ALTA,29
Tailoring Polyamide Nanofiltration Membranes for the Removal of Environmental Micropollutants: Synergistic Diffusion-Reaction Modulation in Interfacial Polymerization,2025,Environmental Science and Technology,10.1021/acs.est.5c10956,china,,,,98.0,,,,,,,,,INCLUIDO_ALTA,29
Reduction of Ciprofloxacin Concentration in Wastewater Treatment Plant Effluent Using nZVI-MXene,2025,Biointerface Research in Applied Chemistry,10.33263/BRIAC156.086,indonesia,Nanocompuesto,Ciprofloxacino,,,,,,,,,,,INCLUIDO_ALTA,39
Chitosan Schiff base iron-based complex aerogel for degradation of organic pollutants by efficient activated H2O2,2025,Chemical Engineering Journal,10.1016/j.cej.2025.171168,china,Biopolimero,Sulfametoxazol,,,,,,,,,,,INCLUIDO_ALTA,28
