continente,pais,n_articulos,pct
Asia,china,4782,45.7
Asia,india,865,8.3
America del Sur,brazil,288,2.8
Europa,spain,208,2.0
America del Norte,united states,195,1.9
Asia,viet nam,150,1.4
Europa,italy,143,1.4
Asia,malaysia,138,1.3
Africa,egypt,125,1.2
Asia,saudi arabia,115,1.1
Africa,south africa,102,1.0
Asia,iraq,96,0.9
Asia,pakistan,93,0.9
Europa,germany,81,0.8
America del Norte,mexico,80,0.8
Europa,united kingdom,79,0.8
America del Norte,canada,77,0.7
Europa,portugal,76,0.7
Europa,poland,76,0.7
Asia,thailand,74,0.7
Oceania,australia,72,0.7
Africa,nigeria,69,0.7
Asia,japan,68,0.7
Sin determinar,russian federation,53,0.5
Europa,france,51,0.5
Africa,morocco,50,0.5
America del Sur,colombia,47,0.4
Asia,indonesia,42,0.4
America del Sur,chile,40,0.4
Africa,algeria,37,0.4
Europa,czech republic,35,0.3
Europa,greece,35,0.3
Europa,romania,34,0.3
Asia,bangladesh,31,0.3
Sin determinar,united arab emirates,26,0.2
Sin determinar,tunisia,25,0.2
America del Sur,ecuador,20,0.2
Sin determinar,singapore,19,0.2
Europa,netherlands,17,0.2
Europa,finland,17,0.2
Sin determinar,serbia,16,0.2
America del Sur,argentina,14,0.1
Africa,ethiopia,13,0.1
Europa,sweden,13,0.1
Sin determinar,hong kong,13,0.1
Europa,hungary,12,0.1
Asia,sri lanka,12,0.1
Sin determinar,ireland,11,0.1
Europa,belgium,11,0.1
Sin determinar,israel,11,0.1
Sin determinar,cyprus,11,0.1
Africa,kenya,10,0.1
Sin determinar,slovakia,9,0.1
Sin determinar,estonia,9,0.1
America del Sur,peru,9,0.1
Europa,switzerland,9,0.1
Europa,denmark,9,0.1
Sin determinar,qatar,8,0.1
Sin determinar,lebanon,7,0.1
Sin determinar,macao,7,0.1
Sin determinar,kuwait,7,0.1
Asia,jordan,7,0.1
Sin determinar,brunei darussalam,6,0.1
Europa,norway,6,0.1
Sin determinar,croatia,6,0.1
Sin determinar,oman,6,0.1
Sin determinar,kazakhstan,6,0.1
Sin determinar,slovenia,5,0.0
Sin determinar,cameroon,5,0.0
Sin determinar,zimbabwe,5,0.0
Sin determinar,philippines,5,0.0
Europa,austria,4,0.0
America Central/Caribe,costa rica,4,0.0
Sin determinar,bulgaria,4,0.0
Sin determinar,puerto rico,4,0.0
Sin determinar,uganda,4,0.0
Sin determinar,turkiye,4,0.0
Sin determinar,lithuania,3,0.0
Africa,ghana,2,0.0
Sin determinar,uzbekistan,2,0.0
Sin determinar,azerbaijan,2,0.0
Oceania,new zealand,2,0.0
Sin determinar,luxembourg,2,0.0
Sin determinar,benin,2,0.0
Sin determinar,georgia,2,0.0
Sin determinar,nepal,2,0.0
Sin determinar,syrian arab republic,2,0.0
America Central/Caribe,cuba,1,0.0
Sin determinar,afghanistan,1,0.0
Sin determinar,guadeloupe,1,0.0
Sin determinar,madagascar,1,0.0
Sin determinar,namibia,1,0.0
Sin determinar,niger,1,0.0
Sin determinar,panama,1,0.0
Sin determinar,senegal,1,0.0
Sin determinar,republic of kazakhstan,1,0.0
Sin determinar,trinidad and tobago,1,0.0
