journal_raw,n_articulos,pct
Chemical Engineering Journal,494,4.7
Journal of Environmental Chemical Engineering,413,4.0
Separation and Purification Technology,386,3.7
Chemosphere,384,3.7
Journal of Water Process Engineering,310,3.0
Environmental Science and Pollution Research,222,2.1
Journal of Hazardous Materials,182,1.7
Journal of hazardous materials,157,1.5
Science of the Total Environment,140,1.3
The Science of the total environment,138,1.3
Environmental research,136,1.3
Colloids and Surfaces A: Physicochemical and Engineering Aspects,126,1.2
Journal of Cleaner Production,123,1.2
Journal of environmental management,118,1.1
Desalination and Water Treatment,104,1.0
Water (Switzerland),100,1.0
Environmental Research,100,1.0
Journal of Molecular Liquids,99,0.9
RSC Advances,88,0.8
Journal of Colloid and Interface Science,87,0.8
Microchemical Journal,86,0.8
Water research,86,0.8
Molecules,85,0.8
Journal of Environmental Management,82,0.8
New Journal of Chemistry,78,0.7
"Environmental pollution (Barking, Essex : 1987)",75,0.7
Water Research,73,0.7
"Water, Air, and Soil Pollution",71,0.7
International journal of biological macromolecules,68,0.7
Process Safety and Environmental Protection,64,0.6
Journal of Alloys and Compounds,64,0.6
Surfaces and Interfaces,61,0.6
Applied Surface Science,61,0.6
Environmental Technology and Innovation,61,0.6
Inorganic Chemistry Communications,59,0.6
Bioresource technology,58,0.6
ACS Omega,57,0.5
Water Science and Technology,54,0.5
Polymers,53,0.5
Nanomaterials,51,0.5
Catalysts,50,0.5
Scientific reports,49,0.5
Journal of Molecular Structure,48,0.5
Environmental Pollution,48,0.5
Environmental Science: Nano,47,0.4
International Journal of Environmental Analytical Chemistry,45,0.4
International Journal of Biological Macromolecules,44,0.4
International Journal of Environmental Science and Technology,43,0.4
Environmental Science and Technology,41,0.4
Langmuir,41,0.4
Heliyon,40,0.4
Applied Catalysis B: Environmental,40,0.4
Antibiotics,39,0.4
Environmental Technology (United Kingdom),38,0.4
Journal of Solid State Chemistry,38,0.4
Talanta,37,0.4
Bioresource Technology,36,0.3
Scientific Reports,36,0.3
Journal of Industrial and Engineering Chemistry,35,0.3
Environmental Science: Water Research and Technology,34,0.3
Journal of the Taiwan Institute of Chemical Engineers,34,0.3
Biomass Conversion and Biorefinery,33,0.3
ChemistrySelect,33,0.3
Journal of Membrane Science,32,0.3
ACS Applied Nano Materials,32,0.3
ACS Applied Materials and Interfaces,31,0.3
Materials,31,0.3
Materials Chemistry and Physics,31,0.3
Frontiers in Microbiology,30,0.3
Processes,29,0.3
Inorganic Chemistry,29,0.3
Sustainability (Switzerland),29,0.3
Journal of Environmental Sciences (China),29,0.3
International Journal of Environmental Research and Public Health,28,0.3
Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,27,0.3
Journal of chromatography. A,26,0.2
Applied Sciences (Switzerland),26,0.2
Journal of Photochemistry and Photobiology A: Chemistry,24,0.2
Membranes,24,0.2
Applied Water Science,24,0.2
Chinese Journal of Environmental Engineering,23,0.2
Microporous and Mesoporous Materials,23,0.2
